agi_bin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
INT2011,1.0197,0.9209,0.9391,0.9622,0.9670,0.9407,0.8339,0.8942,0.9654,0.9183,0.9286,0.9356,0.9440,0.9453,0.9635,0.9643,0.9511,1.0062,1.6912
INT2012,0.7780,0.9572,0.8484,0.8208,0.7185,0.8151,0.8010,0.7953,0.8530,0.9113,0.9153,0.9137,1.0283,1.0497,1.0188,1.1506,1.1048,1.2283,1.3254
INT2013,1.1346,0.7604,0.7821,0.7747,0.8948,0.8704,0.9557,0.9065,0.8345,0.8578,0.9759,1.0204,1.0480,1.0494,1.0893,0.9632,1.0432,0.9791,1.1553
INT2014,0.9122,0.8481,0.8489,0.7768,0.8425,0.8798,0.9732,0.8795,0.8283,1.0104,0.8348,1.0575,1.0341,0.9292,1.0608,1.1537,1.0644,1.0727,1.0788
INT2015,0.9785,0.9268,0.9332,0.9480,0.9516,0.9239,0.9366,0.9357,0.9527,0.9653,0.9872,1.0156,0.9969,0.9912,1.0227,0.9816,1.0198,1.1249,1.1877
INT2016,0.9833,1.0327,1.0453,1.0307,1.0478,1.0347,1.0094,1.0010,1.0062,1.0200,0.9613,0.9544,0.9707,1.0069,1.0651,1.0096,1.0706,1.0980,0.9899
INT2017,0.9991,0.8820,0.8954,0.8907,0.8940,0.9132,0.9172,0.9398,0.9562,0.9781,1.0128,1.0668,1.0345,0.9882,0.9344,0.9798,0.9609,1.0345,1.1953
INT2018,0.9928,0.9721,0.9701,0.9634,0.9769,0.9713,0.9791,0.9795,0.9789,0.9993,0.9914,1.0039,1.0129,1.0067,1.0230,0.9892,1.0156,1.0914,1.0018
INT2019,0.9998,0.9762,0.9769,0.9863,0.9734,0.9782,0.9776,0.9795,0.9819,0.9915,0.9918,1.0116,1.0060,1.0056,1.0027,0.9974,1.0212,1.0402,1.0202
INT2020,1.0034,0.9775,0.9742,0.9823,0.9821,0.9925,0.9818,0.9919,0.9847,0.9966,0.9977,1.0097,1.0047,1.0020,1.0060,0.9958,1.0178,1.0126,1.0029
INT2021,0.9940,0.9811,0.9772,0.9801,0.9817,0.9825,0.9854,0.9854,0.9949,0.9974,0.9903,1.0102,1.0033,1.0118,1.0028,1.0043,1.0238,1.0083,1.0097
INT2022,0.9936,0.9815,0.9789,0.9785,0.9813,0.9835,0.9860,0.9891,0.9936,1.0051,1.0031,0.9981,1.0073,1.0076,1.0071,0.9991,1.0204,1.0009,1.0126
INT2023,1.0030,0.9808,0.9782,0.9787,0.9834,0.9836,0.9836,1.0105,0.9952,0.9955,1.0052,1.0028,1.0010,1.0075,1.0004,1.0079,1.0235,1.0008,0.9926
INT2024,1.0066,0.9849,0.9818,0.9765,0.9740,0.9858,0.9889,0.9941,0.9945,0.9951,1.0009,0.9984,1.0058,1.0089,1.0052,1.0103,1.0204,1.0123,1.0075
INT2025,1.0074,0.9878,0.9744,0.9766,0.9824,0.9811,0.9804,1.0100,0.9919,1.0035,1.0011,0.9980,1.0038,1.0043,1.0152,1.0136,1.0217,0.9982,0.9930
INT2026,1.0127,0.9929,0.9780,0.9807,0.9876,0.9845,1.0077,0.9863,0.9907,0.9925,0.9934,0.9939,1.0053,1.0139,1.0317,1.0234,1.0274,0.9977,0.9920
INT2027,1.0063,0.9828,0.9852,0.9779,0.9874,0.9848,1.0003,0.9897,0.9964,0.9971,0.9906,0.9940,1.0094,1.0155,1.0250,1.0257,1.0228,0.9940,0.9947
INT2028,1.0104,0.9947,0.9775,0.9746,0.9879,0.9954,0.9886,0.9901,0.9897,0.9958,0.9925,0.9937,1.0050,1.0241,1.0262,1.0306,1.0236,1.0031,0.9918
INT2029,1.0112,0.9841,0.9802,0.9850,0.9825,0.9899,1.0224,1.0007,0.9793,0.9893,0.9903,0.9914,1.0059,1.0237,1.0273,1.0438,1.0256,0.9942,0.9924
INT2030,1.0209,0.9837,0.9787,0.9916,0.9851,0.9882,0.9826,0.9793,0.9922,0.9930,0.9893,0.9890,1.0045,1.0363,1.0374,1.0487,1.0303,0.9947,0.9922
